surface_m2,nb_pieces,latitude,longitude,dist_arret_bus_m,proximite_febus,prix_vente
100,4,43.30061442273349,-0.3699319481078351,212,1,265900.0
31,2,43.31386642904742,-0.36664228982904123,274,1,70300.0
53,3,43.30883586066166,-0.3696896854716976,61,1,123800.0
35,1,43.30576914513653,-0.37233892398728835,413,0,67500.0
57,3,43.29558842873018,-0.37138092386698196,573,0,123700.0
30,1,43.29558787396773,-0.3611766369590182,92,1,77100.0
103,4,43.29333592307987,-0.3688099884478262,138,0,200400.0
56,1,43.31192205135282,-0.3640719041685577,89,1,149700.0
75,3,43.30582564527009,-0.3598974818743543,151,1,163200.0
99,3,43.308285669289305,-0.354288155141119,616,0,214100.0
82,3,43.292473443368806,-0.37382063580476704,414,0,169900.0
111,3,43.314307926599724,-0.3510176880327287,519,0,239200.0
50,3,43.311146180738405,-0.35616298831527277,514,0,82300.0
122,5,43.296883799545604,-0.37254722904153387,587,0,229600.0
70,2,43.29618197424576,-0.34879264127679666,152,1,168300.0
122,4,43.29621830372663,-0.3473738279840456,64,0,240000.0
53,1,43.29899757158807,-0.3731676612043541,633,0,86900.0
28,1,43.30406939792754,-0.3666936705555839,639,0,53400.0
105,3,43.301934735428766,-0.35081396160620815,268,0,221100.0
123,5,43.298698270224556,-0.35255220928849024,644,0,248800.0
37,2,43.30607261657861,-0.36946436941930866,577,0,66100.0
129,4,43.295208358795,-0.3687195202998987,440,0,246200.0
63,2,43.29871932691631,-0.36388583691625853,561,0,104700.0
39,2,43.30042632239576,-0.36046431044426935,316,0,86700.0
53,3,43.30248960963699,-0.3564523568540911,595,0,98700.0
53,2,43.31005904711204,-0.3639325908129068,363,0,110100.0
99,3,43.296592496989646,-0.36112395851600554,63,1,255600.0
56,2,43.30382739208351,-0.35257587185598727,88,1,149800.0
26,2,43.30562553508383,-0.3738995039132821,275,1,58200.0
71,2,43.29306835949256,-0.36742689166967935,370,0,146900.0
102,3,43.30597353159373,-0.35359951242346344,596,0,188500.0
108,5,43.29592205484481,-0.348143794869384,616,0,233000.0
46,1,43.29349618663866,-0.35964967673653,274,1,102900.0
99,3,43.31382436735682,-0.35903659544204053,309,0,215000.0
51,3,43.314209536760714,-0.37178483965980674,327,0,104000.0
91,2,43.31059313900668,-0.36157762899529633,626,0,171200.0
105,5,43.29900611669099,-0.3590214820063493,196,1,253100.0
132,5,43.29424645862215,-0.3677258848909581,378,0,285500.0
80,2,43.30773735960978,-0.3669227030715186,202,1,195100.0
116,5,43.30212350735601,-0.36368147510686133,583,0,189100.0
117,3,43.29480687940143,-0.3743978640666682,557,0,240400.0
45,1,43.30338906893256,-0.36533762503250466,610,0,90000.0
71,2,43.29279093598565,-0.36865655979010364,562,0,139000.0
104,3,43.31291436924781,-0.36517507943466254,422,0,184100.0
125,6,43.2979519395768,-0.37140713604542247,632,0,211000.0
83,4,43.30723801254014,-0.3482841815778031,428,0,137300.0
108,5,43.299169354750056,-0.35719222639337855,356,0,220400.0
30,2,43.30396156448709,-0.3546269304256653,234,1,65400.0
43,1,43.30457433642489,-0.35132486284177983,177,0,77600.0
81,2,43.29625165247709,-0.3600467340321283,234,0,180200.0
93,3,43.31430044643858,-0.3723923913573773,284,1,230000.0
27,1,43.309828054937306,-0.35888680374544357,646,0,48000.0
25,1,43.313608475655975,-0.3573947664593736,414,0,48100.0
82,2,43.312581029059835,-0.3526368157744701,196,1,167400.0
62,2,43.305751699512655,-0.36205021361310963,632,0,122200.0
39,1,43.31320310740553,-0.3711725909161331,219,1,89200.0
58,2,43.29403532754719,-0.3664867228260383,596,0,110300.0
